feature,importance_mean,importance_std,importance_min,importance_max,rank
n_tokens_content,0.517187429573873,0.0034635813999230407,0.51135784044945,0.5257062808243472,1
LDA_03,0.08665036226606508,0.000904470158999689,0.08482291674762246,0.08830714621062243,2
kw_avg_avg,0.06350527882917244,0.0014277354846099657,0.06124155460967282,0.06561898561133156,3
LDA_02,0.05508578662307363,0.0004946441832373353,0.054288925157920456,0.055928598554312835,4
LDA_00,0.04574886871308404,0.0006023067322248511,0.04464039764846154,0.04713495105760828,5
self_reference_avg_sharess,0.04479519480513129,0.0006380922901820036,0.043065128855051,0.045844457880047984,6
LDA_01,0.04382254355315464,0.00062401349817336,0.04268867801338292,0.04483972052092581,7
n_tokens_title,0.02590970178088116,0.0004159557730487608,0.02526268321531408,0.026641043106349717,8
num_imgs,0.0240307253951581,0.0003302985047294994,0.023568350553043335,0.02485931866409594,9
num_self_hrefs,0.022642388030320922,0.00020957394674211733,0.022229030840674513,0.02304633354596669,10
data_channel_is_world,0.01660980940536302,0.0005562522617138673,0.015487348774356768,0.017479068332828713,11
num_videos,0.012670611307873695,0.0002474395310565794,0.012269084276488245,0.013048517526552525,12
data_channel_is_bus,0.005196415317104635,0.00020980268117732866,0.0048753922719135005,0.005546428086700033,13
data_channel_is_entertainment,0.005139178970042254,0.0007024890805512917,0.004026204982041023,0.006340411641238187,14
weekday_is_tuesday,0.004803698194168579,0.00010403031462405465,0.004615543279832201,0.005013246329635346,15
weekday_is_monday,0.0047418564131431,5.277842419479098e-05,0.004650037661462339,0.004831822291816008,16
weekday_is_thursday,0.004734452677513673,7.015727494554795e-05,0.004584985550153499,0.0048773618560960744,17
weekday_is_wednesday,0.004729772255588261,9.19668652209332e-05,0.004537124707598255,0.004906569081930893,18
weekday_is_friday,0.004483913793151811,8.815677211527977e-05,0.004343517433954232,0.004659795050019635,19
is_weekend,0.004274439325993437,0.00011775146340660486,0.004101739700312384,0.004470282130243508,20
data_channel_is_lifestyle,0.0016708604309275614,6.944701269876739e-05,0.0015719668350721878,0.0018044024699729903,21
data_channel_is_socmed,0.001566712339215604,9.130834381684831e-05,0.0013555017867868003,0.0016976069435320409,22
